"","x"
"100889551",1.6436958256167
"105439901",1.64360382484164
"586955",1.63809493795604
"586889",1.6216313642759
"105439761",1.61561774868796
"752505",1.61277688519077
"575076",1.60470574045265
"592594",1.59337727766221
"378945",1.58734388284852
"580610",1.58422587552848
"752633",1.57937334258871
"582626",1.57642840515078
"581848",1.57503238715674
"576665",1.57418317118779
"583473",1.56499248946641
"590962",1.56236133695598
"764720",1.56176059299925
"576678",1.56063846566923
"756938",1.5573244022488
"576803",1.55614610657813
"587915",1.55594251513355
"105439964",1.555627127717
"100892349",1.55377735621389
"589708",1.55369286950248
"115919180",1.55300135379898
"591591",1.54457972185995
"576448",1.5415093039431
"578080",1.54006712354917
"576218",1.53820968740354
"582052",1.53437256055707
"585434",1.53144665671629
"587032",1.52630360499474
"588644",1.52064585407084
"586685",1.51993837634526
"593069",1.51475792929726
"584069",1.51407898452668
"115927279",1.51130412188249
"753796",1.51043264737464
"587526",1.50382300086855
"589075",1.50323247728893
"582972",1.50261897674989
"592952",1.50146685635511
"577037",1.49975109255732
"100892350",1.49955762131101
"583065",1.49943521591255
"589226",1.49902282636054
"583750",1.49806238462992
"578459",1.49184717641379
"591929",1.49149446056628
"584490",1.48223844431003
"115928358",1.47866869929096
"591529",1.478040740797
"115930000",1.47019606314744
"582206",1.46979068533042
"584529",1.46058099934286
"582724",1.45782727950344
"588415",1.45707772038432
"589605",1.4562193826991
"587933",1.45315157133031
"587578",1.44718739841118
"100892633",1.44645081131295
"593044",1.4450511557076
"594823",1.4443090415496
"583334",1.43801878336851
"756465",1.43761418334471
"593157",1.43588461822915
"752085",1.43335502425125
"575587",1.42850429942994
"575541",1.42118491355104
"586207",1.42090559800159
"584497",1.42063727668881
"115917937",1.40846125239976
"373285",1.40551387956546
"576764",1.4022693811345
"578454",1.40054214522863
"592215",1.39687788984509
"574582",1.39448629140147
"100889221",1.39305250157633
"592872",1.39273185207089
"586315",1.38505721130801
"756186",1.37399293884869
"588095",1.36774570053692
"587820",1.36625752570238
"583464",1.36224618515603
"115923537",1.35931951981406
"583728",1.35159802982369
"115918012",1.34799771763822
"763298",1.34537074779646
"590498",1.34478442661845
"589588",1.34031747728259
"579934",1.3374374588728
"752582",1.3368057008253
"594583",1.33637869626167
"589317",1.3343143597555
"581320",1.33428846221367
"752329",1.33235516143979
"582027",1.32878919668119
"575190",1.32533467141829
"373422",1.3238171339964
"581392",1.32195397449347
"585337",1.31791805740139
"583959",1.31294193597326
"373206",1.31028709729276
"577704",1.30939925026372
"587360",1.30749845776815
"580365",1.30538881037748
"589933",1.30496382201484
"115918818",1.30085031899464
"586242",1.30080125886004
"590679",1.29833843967815
"584203",1.29195742507412
"115926559",1.28884960805813
"754171",1.28669177153048
"752709",1.28645132484703
"587818",1.28555247718283
"105437391",1.2807705895002
"105437286",1.27991327809466
"100890040",1.27872950868586
"100888636",1.27762497137498
"100888493",1.27718227467948
"100891337",1.27607758658188
"100889646",1.26976848883713
"581413",1.26841136571693
"577830",1.26648736219475
"580388",1.26531379591265
"105442143",1.2600100508941
"582377",1.2594527627507
"754972",1.25728210555853
"589572",1.25371711490996
"115918338",1.25244868829099
"584568",1.25232929484129
"593908",1.25177489912078
"579238",1.25108929808761
"575846",1.25085486789054
"115918786",1.24952833258583
"100893616",1.24753783986913
"753347",1.24695571490088
"753715",1.24147080851876
"105436396",1.24026639847688
"579556",1.23960336751106
"753380",1.23912674633285
"105444870",1.2373317206528
"100892532",1.23435423703952
"100890677",1.22940179612283
"577126",1.22886389714283
"588485",1.22658876095955
"753895",1.22639303798754
"100893494",1.22578142117823
"115927285",1.22321250514093
"576650",1.2227548266586
"581567",1.21828614372275
"115919032",1.21722875994969
"576614",1.21583375301318
"575406",1.21471320010277
"583302",1.21438038659908
"580903",1.21312517621417
"588637",1.20561850426543
"756854",1.20546023804869
"115921735",1.20485394963255
"578518",1.20058870053252
"582177",1.19510421685579
"587005",1.19273760821367
"578629",1.19062527646248
"580849",1.18844133780173
"580043",1.18808871904218
"594453",1.18679870463325
"592811",1.18614998946954
"575336",1.18552826349403
"584952",1.18322946026143
"579323",1.18283021850951
"591899",1.18128295289518
"582178",1.17860608531807
"754356",1.17810070661014
"593238",1.17708595207438
"584259",1.17250860283418
"580345",1.17248551374074
"574666",1.1684699581826
"115919006",1.16689368421052
"589568",1.16676185736558
"576524",1.1654096762882
"589384",1.16228451523206
"584895",1.16199262246205
"587709",1.16033408146865
"586779",1.15767126122075
"580730",1.15728620174214
"576643",1.15588367440229
"585029",1.15481247082547
"581254",1.15378612390162
"105445695",1.14693966294121
"115923976",1.14474783795068
"576508",1.14410400871894
"105442119",1.1435173293495
"586418",1.14200037016003
"100892550",1.14096651304484
"582477",1.14075871031991
"584580",1.13983831491926
"576990",1.13720569395218
"752318",1.13188317400711
"576168",1.12905547722158
"577447",1.1262759263001
"100888848",1.12595040952637
"593139",1.12568529328379
"581703",1.12533058964378
"587766",1.1237420122124
"578949",1.12298839518387
"586686",1.12070608155869
"584003",1.11909922209772
"100889952",1.11827488585852
"414053",1.11811583024089
"115926170",1.11728503861299
"590850",1.11456695204026
"100891632",1.11377928706693
"589823",1.11199578327248
"585465",1.11174734548792
"576903",1.11126622251123
"585826",1.10922649631989
"575828",1.1072949908557
"593754",1.10550666995652
"578453",1.10536903670061
"115928554",1.10465373944825
"105442611",1.10374126388453
"579529",1.103576825947
"592971",1.10326397215983
"577193",1.10291840948308
"587591",1.10178693753625
"586977",1.09956102289342
"762974",1.0981762328347
"115918026",1.09762257610668
"764410",1.09675573195041
"579085",1.09524577942584
"579635",1.09442738614416
"579572",1.09066949328132
"579223",1.08894607080113
"589723",1.08883597574785
"580662",1.08629625047068
"580024",1.08588452743955
"100887880",1.08548784909729
"581428",1.08493582625877
"586395",1.08419355860953
"584354",1.08265116755479
"574664",1.08204328297488
"754388",1.07833332412282
"588593",1.07659135691521
"591262",1.07612400042677
"588966",1.07269013147044
"593176",1.07155445829957
"575203",1.07153252393215
"591328",1.06992859057562
"575637",1.06464331565873
"577053",1.06460294733209
"580429",1.05775364303166
"576348",1.05772293394063
"576394",1.05538057429099
"591796",1.05449893388409
"589543",1.05358839101988
"583017",1.05356878561446
"591657",1.04983045674668
"100889772",1.04941262405476
"592274",1.04939075354738
"581503",1.0449905000606
"579609",1.04483990946047
"588430",1.039937605057
"100892512",1.03979548977728
"578635",1.03783578747386
"593090",1.03633017673162
"593440",1.03562335237648
"591794",1.03526246717983
"575570",1.03492158765391
"579868",1.03483527771708
"594046",1.03412725277575
"580674",1.03068228158287
"100889342",1.02983224547041
"576551",1.02694676887549
"579152",1.02577205787585
"580751",1.02398494016523
"577303",1.02249629107016
"584784",1.02167060822601
"115928679",1.01905735562975
"574839",1.01898886403961
"100887892",1.01860192332622
"594444",1.01500632218168
"581211",1.01457166537291
"100890923",1.01303689360199
"105443432",1.01265577970904
"585953",1.01248788564408
"577665",1.00987153223475
"584783",1.00954968329412
"100889110",1.00936892534682
"591822",1.00853478362394
"757282",1.00847211320862
"575362",1.00782426090267
"764162",1.00601764438854
